x y z dx dy dz magnitude
3.65055 6.3179 4.08988 13.7613 -3.57494 15.5551 21.074
7.90343 -1.52705 8.17918 22.2706 9.94268 19.4918 31.2212
7.59581 14.8859 3.94615 17.34 -6.58489 14.4768 23.529
-10.3567 -2.96369 30.1641 15.6178 6.73356 -18.1832 24.8975
19.1729 22.5057 21.0003 13.2275 7.31579 3.95034 15.6234
23.2167 22.9952 32.435 -13.5642 7.16906 -25.5135 29.7711
-4.61346 8.33416 -12.7544 11.0762 8.26083 14.9612 20.3657
1.13007 -6.49693 -3.34488 1.29045 38.0717 45.1508 59.0738
16.1936 7.0779 23.0396 -7.17215 25.7161 12.379 29.4278
5.81855 -2.42331 15.5526 7.86621 8.23261 -6.39353 13.0587
21.021 1.29112 -4.36558 6.02698 -4.96783 36.7308 37.552
-6.17662 17.0935 37.0721 36.6661 -5.40075 -29.3128 47.2527
15.3124 2.79891 20.4632 -2.53296 -6.60341 0.0455202 7.07269
8.369 31.5973 14.6527 4.41747 -10.1388 3.08505 11.4816
8.66643 13.5284 18.3043 6.96113 -2.5951 0.213757 7.43219
21.3521 7.60853 4.40336 -0.113736 -2.61715 4.17091 4.92533
-5.35795 8.87864 14.3479 35.3387 10.6 -0.641098 36.8998
-21.0011 23.4762 15.1657 53.0208 4.20202 -5.47922 53.4685
13.5642 -4.91703 -4.52659 6.5649 11.9612 27.8143 30.9807
28.9144 21.3527 11.0041 -10.6885 -10.2435 -0.52557 14.8138
23.6109 19.6832 19.0953 -15.7144 -8.04534 12.2881 21.5097
13.6279 18.6941 17.1534 8.96158 -12.5226 -8.96906 17.8205
29.4805 11.0467 30.725 -5.34702 5.07326 -8.74275 11.4352
9.064 -7.00089 8.33977 0.536059 12.985 3.09903 13.3604
6.72322 26.2668 4.02402 -0.0468941 -1.28918 -7.3277 7.44038
21.8972 25.8644 5.16613 6.35449 -5.24234 -9.02809 12.2216
5.55019 22.3969 1.60862 -35.5714 20.6147 -3.91654 41.2992
13.5759 5.44528 22.2036 -6.75447 -8.95294 3.53342 11.7585
2.55483 4.00648 -6.27707 26.0169 11.6633 11.6094 30.7846
30.2355 13.4964 -19.3443 -20.2905 5.78855 22.2272 30.6473
25.2167 4.2251 17.4459 -14.1207 -11.491 -7.22611 19.5871
17.2484 -0.167619 19.3833 2.50687 7.4542 -16.5345 18.3095
20.5565 22.6682 27.5405 9.47803 4.08193 -7.63856 12.8391
20.6083 37.0319 34.6892 -0.217635 -21.2133 -16.5961 26.9348
56.4446 27.7834 32.0281 -45.5185 -3.9426 -10.4988 46.8797
13.8995 3.94863 31.6777 -1.53493 4.23449 -10.075 11.036
6.78276 17.1233 23.4134 2.3351 2.40738 -0.988352 3.49642
25.4459 16.9517 5.39924 -0.755751 -22.2117 11.4302 24.9916
-3.86604 -29.6967 15.4928 7.78497 48.5609 -4.27099 49.3661
16.6654 19.2002 27.7012 -7.07487 -21.1461 -5.27303 22.9132
10.6831 20.0908 9.24007 -4.94095 16.5402 10.4911 20.2003
-3.57503 17.9103 6.4628 4.44936 1.44696 10.2167 11.2371
-1.55352 32.361 29.8558 4.58077 -10.8379 -18.6548 22.0555
10.7856 7.03519 3.88467 -4.30961 8.40144 -1.12912 9.50956
15.4872 30.4131 45.3615 -8.22951 -6.93164 -21.1357 23.7169
7.88384 31.2752 14.8578 6.10174 -35.9232 15.6524 39.6574
8.88457 25.4811 21.9181 7.13889 4.76435 7.20733 11.2075
9.22842 13.0426 19.5687 7.05384 2.90334 0.62689 7.65369
5.74755 11.0606 7.50481 -6.643 -40.9103 -13.6762 43.6443
17.8074 16.5515 6.62791 3.7354 1.30281 -1.29918 4.16394
15.3279 2.59805 31.6948 -6.1053 -4.22211 -10.5342 12.8869
30.9092 8.25308 12.7243 -9.22583 6.2929 5.70589 12.5409
6.28274 22.4329 29.7136 -36.044 -2.62317 -31.6195 48.0192
-2.09263 29.1783 8.48074 8.81869 -25.5494 13.1335 30.0505
28.781 10.5473 19.7229 -10.0081 -1.55399 -1.07869 10.1853
9.70096 -32.7474 8.8924 3.4349 52.0279 9.89533 53.0718
6.3717 29.5616 11.0356 13.2127 -5.69542 4.90507 15.2011
10.3128 29.7743 3.55146 5.29736 -24.0741 -5.88512 25.3429
21.3071 4.33218 18.8262 -11.7807 -2.07774 0.733751 11.985
5.39057 8.70148 12.493 -22.0284 10.1902 -0.800553 24.2844
6.08469 22.0737 18.006 10.7874 -1.49868 -5.97808 12.4238
-6.93313 8.82291 -8.50722 12.417 -10.2413 12.5196 20.3913
3.75373 19.1469 28.708 -5.92209 -1.45239 -5.17475 7.99741
-3.25297 15.3607 22.1093 7.84258 -21.1409 1.73379 22.6153
20.4004 30.1704 12.8567 -24.5742 -32.449 3.44382 40.8496
5.65568 20.7046 24.3408 -10.286 8.01507 -13.6391 18.8698
16.5858 12.1117 7.25603 -11.538 -2.47985 -9.03277 14.8615
-4.88209 11.1743 29.2582 12.7218 3.86476 -19.4433 23.5547
18.1849 -0.413364 -5.23582 0.601174 1.80334 8.75622 8.96018
7.8955 4.22304 20.6578 -0.434714 4.07841 -2.99475 5.07848
-4.33565 11.4439 3.59147 11.5061 13.6333 -6.94959 19.1456
41.6849 -2.76919 6.23594 -21.6324 5.97012 16.2968 27.7343
12.4008 22.868 6.02671 23.7096 10.0952 -14.5647 29.6005
17.1514 45.5799 23.9212 -6.96646 -24.9477 -25.91 36.6367
2.18891 20.4572 6.05931 15.8216 -2.71342 -5.76162 17.0553
7.0277 9.72446 1.54581 49.6578 5.37759 -5.08599 50.2064
20.5875 1.96199 22.4867 0.83824 -3.1075 9.12621 9.67714
16.8615 18.4225 11.7183 -8.3479 -1.43972 2.97447 8.97817
19.4538 -15.7841 22.8539 -9.997 22.2026 3.16172 24.5538
10.1671 19.8897 15.5224 1.06287 -12.5129 -19.3272 23.0487
2.74214 17.4342 19.6014 3.7162 -7.73075 -8.82025 12.3033
23.0384 32.4278 -3.15253 3.91735 -23.3254 8.47122 25.1233
28.941 19.6131 10.5996 -3.73038 -0.703462 6.30229 7.35727
4.10025 19.5914 9.07932 -7.73203 -9.80216 -6.3563 14.0096
6.89897 9.36838 26.6993 11.257 5.28385 -17.2493 21.2644
15.2432 18.4746 15.9019 -12.7659 -11.0979 -7.91514 18.6756
-24.1678 34.5143 7.67792 29.7704 -11.7378 6.54848 32.664
11.2134 7.84078 16.0864 19.598 10.8214 -0.803956 22.4016
4.07361 20.5966 26.8738 -4.21843 10.5331 -5.11288 12.4452
17.7079 11.7304 9.26961 -10.1356 0.577703 7.53503 12.6428
-16.7425 1.75967 -4.29077 33.6066 -0.259253 9.41442 34.9013
31.3183 26.1282 30.8068 -8.47074 -6.18218 -19.8354 22.4369
7.07328 16.6289 24.969 22.8434 -18.2124 -4.55379 29.5677
22.9728 15.0358 5.20226 1.80408 -5.6824 -0.889539 6.0279
6.93991 22.7336 16.7684 22.8992 2.38173 15.613 27.8174
24.1601 23.5896 17.7265 -0.655562 4.81824 0.254303 4.86927
8.99773 23.2659 19.594 10.7052 4.47889 -22.9006 25.673
13.9678 18.0887 9.11287 1.88817 1.85481 6.60799 7.11836
12.3668 7.72809 4.34041 7.24923 15.4987 1.02923 17.1412
27.379 3.82161 20.6686 -4.82575 1.83983 4.16999 6.6379
4.65096 21.2515 0.778993 6.83934 1.19324 17.9954 19.2882
6.25657 12.5604 16.7794 0.407588 -1.79666 -6.16135 6.43089
84.7295 -53.2134 16.939 -79.4992 81.9191 -6.08693 114.315
28.0395 3.66486 8.03267 -21.6055 -17.2443 8.83166 29.0201
45.3807 30.5467 15.596 -48.8425 -44.8842 3.69582 66.4367
13.6033 18.7482 -17.126 4.98255 -18.3068 34.6562 39.5097
18.1727 27.4953 22.0724 -0.939619 -2.80777 0.447899 2.9945
16.5794 7.07404 12.2726 -5.40617 2.60415 -3.08109 6.74547
30.831 16.2713 24.2666 -12.7701 -19.0794 0.0446591 22.9587
5.14892 3.70222 7.0154 -8.81473 -0.612158 -23.2839 24.9041
16.6821 14.2286 6.06582 -33.2239 0.581532 -13.2024 35.7557
24.2882 18.5943 17.8319 -1.81843 -22.3033 -6.51286 23.3058
29.1917 7.04904 9.95582 -7.15006 5.81708 -2.55105 9.56397
4.96223 22.5134 33.3647 -7.00233 0.922867 -24.9046 25.8867
-3.98846 13.6771 -5.46822 23.6238 1.82582 8.71618 25.2466
-2.23496 9.51922 5.95796 14.2346 8.91561 -10.7525 19.9431
13.6178 3.64156 6.66015 -14.6207 -9.43752 -10.3734 20.2593
7.75649 6.4727 10.3244 1.24436 -4.55399 -2.66347 5.42046
19.4132 29.7587 28.4708 6.39024 -7.34316 -7.99078 12.594
30.4488 12.926 32.0129 -27.1214 -6.91963 -13.0733 30.8927
16.4656 -6.50334 8.75382 -9.93861 36.2033 6.17729 38.0475
-6.04031 19.6011 37.014 11.6188 -18.9455 -14.8752 26.7433
19.4412 23.7478 9.09791 -2.5389 -3.67319 0.225379 4.47092
43.3826 19.4446 30.1229 -22.5016 -17.5136 -9.13374 29.9412
6.09146 16.2101 16.4739 -10.6223 2.30584 -5.11223 12.0119
-6.09402 -3.89934 -0.367731 10.2932 7.87621 15.0522 19.8633
6.50493 22.8095 34.8463 8.61284 -28.2152 -17.1951 34.146
8.27225 22.2581 0.771543 -0.419822 -0.178332 -1.23133 1.31309
26.509 -4.77535 -44.989 -0.632192 9.21345 63.022 63.695
20.9912 17.4688 25.94 0.414047 0.0954485 0.875233 0.972922
29.6539 14.4366 20.0817 -9.95847 -6.22897 -3.92669 12.3851
5.90239 1.88916 22.657 0.247361 1.71254 4.39299 4.72147
21.1228 -3.66381 14.7929 -11.7174 18.7687 -5.33596 22.7604
16.6478 20.6491 24.9265 -1.87223 0.986746 5.10289 5.52435
3.38564 6.80479 12.0984 -5.62938 -0.298459 4.54461 7.24102
18.504 28.4515 22.3112 -22.1346 -7.94617 2.50554 23.6508
16.481 -6.65208 14.6527 -10.3842 9.64266 -3.56958 14.6135
10.9871 6.48835 29.5446 7.80439 6.20497 -7.55028 12.5067
10.2094 29.5743 7.07558 12.3492 -22.653 9.57291 27.5192
5.9338 2.81078 15.3031 4.35772 -9.48959 -6.61228 12.3598
-2.25501 18.664 2.46 8.94084 5.43233 1.12206 10.5218
8.68602 5.61573 15.4716 0.680538 -1.27925 4.14403 4.39005
22.5485 11.2032 3.65335 7.11787 3.38469 3.00518 8.43512
22.042 25.7477 8.372 0.514007 -0.424327 10.143 10.1648
-1.80351 7.82754 17.6951 10.0104 14.4457 -11.7178 21.1233
-2.94067 15.6878 19.4861 9.04238 -3.07239 -10.0393 13.8561
7.64959 12.4397 16.9293 36.2927 1.96388 -7.80118 37.1736
-3.94792 20.5328 28.5047 10.1156 9.71521 -15.5126 20.913
25.011 6.49059 16.4754 0.472923 -1.39769 -7.27083 7.41904
22.805 12.0437 5.62261 -1.44919 5.50014 -6.66142 8.75935
8.21398 13.5075 21.8404 -12.2034 -4.32237 24.0315 27.2968
6.31812 17.8846 4.18424 7.00363 13.3354 13.5028 20.2289
5.81875 26.3682 -4.27258 -5.54688 -7.04516 8.07232 12.065
-1.26176 4.23531 31.7146 3.70061 2.50134 -7.83805 9.02143
27.1352 19.3171 16.7326 -12.6533 -23.4667 1.84656 26.7246
22.2754 7.58675 15.1226 0.284629 11.8361 1.50242 11.9344
22.7105 -3.85184 15.1125 -8.95389 8.89315 -6.49557 14.1934
6.18391 16.8597 31.4184 25.6634 0.32431 -19.3829 32.1622
-19.2577 -3.13031 10.1611 51.6055 6.50649 1.38303 52.0325
27.6442 21.9954 18.13 -13.8916 -12.3998 -10.9875 21.6208
-5.46809 9.514 -1.67999 24.9056 30.1619 5.72881 39.5329
19.6998 29.041 24.0191 -1.15686 -6.48835 3.26027 7.35298
4.90072 4.02484 19.3428 17.2836 27.9744 9.1646 34.1362
10.8017 -3.73218 19.5876 -0.72906 12.0957 -8.36002 14.7217
16.496 11.2925 18.0811 -1.18615 6.00995 -23.736 24.5137
2.1356 7.16858 23.551 -3.01754 -0.557976 -0.598112 3.12644
17.77 9.1331 33.0291 -10.3058 2.92835 -23.3512 25.6917
17.0459 26.8271 7.19526 -10.6772 -5.65505 2.8109 12.405
7.55239 14.5931 22.5136 35.6142 26.6288 11.5982 45.9563
27.2966 18.6732 22.6745 -16.54 -13.3142 1.41645 21.2802
