,mean squared error,mean absolute error,r2 score,max error,mean absolute percentage error,top 5 in top 5,top 10 in top 10,top 50 in top 50,top 100 in top 100,top 500 in top 500,name
0,3057.3115286821494,46.84277674673057,-0.0031728789900464793,141.64862703869989,2.0220551802670577,0,0,0,0,1,dummy-mean-model
1,3034.5065714972507,45.822044296077294,-0.0009858592277218747,140.8541813251122,1.6721813848109308,0,0,0,0,1,dummy-mean-model
2,3594.7139991517092,50.53107135461479,-2.896033453048119e-07,137.40829087114548,2.0385119627409938,0,0,0,0,1,dummy-mean-model
3,3061.2492742588706,47.234383584432734,-7.626703086938136e-05,141.7767473590079,1.22943661263179,0,0,0,0,1,dummy-mean-model
4,3269.258714797978,47.17169036005801,-0.0009493892813530191,139.26385280146638,1.3910123621574724,0,0,0,0,1,dummy-mean-model
0,3102.151890171173,47.75966684562963,-0.007908508685680937,141.27331179613515,1.7974817561561995,0,0,0,0,1,dummy-median-model
1,3325.453806273459,47.89495466388426,-0.0024558811740373887,138.2673118733814,1.580162884990653,0,0,0,0,1,dummy-median-model
2,3311.248921673886,48.782973894059765,-0.0019807422179203282,131.4570924974618,1.7610067219044254,0,0,0,0,1,dummy-median-model
3,3176.7888849738547,46.47330417783996,-0.007205307208893341,134.4354484753057,1.410846342247363,0,0,0,0,1,dummy-median-model
4,3123.1124193955216,46.86419714519032,-0.009090953831765836,140.8179127949236,1.7536591139187623,0,0,0,0,1,dummy-median-model
0,365.88572229148974,14.5484425136606,0.8822783849386429,79.90751054535274,0.3864646257002092,0,0,1,1,1,default-xgboost-default-feat
1,304.70217755238485,13.546901582133772,0.9035854993377694,77.29011282910236,0.3919347100202454,0,0,0,0,1,default-xgboost-default-feat
2,325.3234899211678,14.007385100583859,0.8926708335196429,61.91803209107188,0.38729706809611975,0,0,0,0,1,default-xgboost-default-feat
3,370.87481061587937,14.549742185838554,0.8889963237758243,64.43311770671211,0.34932202535585766,0,0,0,1,1,default-xgboost-default-feat
4,351.53792474860575,14.497961826097386,0.8957876255501073,78.89259362392343,0.38809962025315187,0,0,0,0,1,default-xgboost-default-feat
