,mean squared error,mean absolute error,r2 score,max error,mean absolute percentage error,top 5 in top 5,top 10 in top 10,top 50 in top 50,top 100 in top 100,top 500 in top 500,name
0,1.1035830724261713,0.8196152352017195,-0.0030866332339685165,3.383725101530909,0.4336186085596681,0,0,0,0,1,dummy-median-model
1,1.0908971568133048,0.8059257634137686,-0.0003570457582937614,3.2316789088902858,0.41017586101163894,0,0,0,0,1,dummy-median-model
2,1.0303510204018087,0.7977011061072192,-0.0012131407800441973,3.1735685066720123,0.3583300772185697,0,0,0,0,1,dummy-median-model
3,1.065898460017196,0.8023097332906307,-0.0005350870269011931,3.402337046278636,0.4765171158305628,0,0,0,0,1,dummy-median-model
4,1.1857414583990535,0.8534422814053202,-0.00026580355379013376,3.4947037989245127,0.645956854227758,0,0,0,0,1,dummy-median-model
0,1.1093414437661688,0.8193876643512541,-0.0016010413954690161,3.219356128902977,0.41296902799972507,0,0,0,0,1,dummy-mean-model
1,0.991305790603706,0.7753710949929413,-0.0011588650050819993,3.378972725618408,0.3894667683738576,0,0,0,0,1,dummy-mean-model
2,1.1157347855133575,0.806422064089408,-0.002547769402441169,3.3608492504738186,0.45788816524277415,0,0,0,0,1,dummy-mean-model
3,1.2167110571568192,0.883462029426161,-0.0019154492088067077,3.4888073024759225,0.693796831125019,0,0,0,0,1,dummy-mean-model
4,1.0475759272155665,0.7975603299453942,-8.014355189933653e-06,3.161865672584223,0.3777643884377332,0,0,0,0,1,dummy-mean-model
0,0.9597883177691482,0.7545076737458932,0.12405150529915887,3.1728823088750486,0.3580338014875236,0,0,0,1,1,default-xgboost-default-feat
1,0.915139224847018,0.7258002728473261,0.21403227775554956,3.953496472528906,0.4164489126364896,0,0,0,0,1,default-xgboost-default-feat
2,0.7993552281560774,0.6637809674384653,0.26083052215113645,3.9523730585019043,0.4845587157127682,0,0,0,0,1,default-xgboost-default-feat
3,0.9018817739176456,0.7127850876546986,0.21656898305618089,3.133328959666748,0.3986335848537976,0,0,0,1,1,default-xgboost-default-feat
4,0.6985933389694339,0.6377202559715529,0.2684072563676726,3.081088640809668,0.2781770244067149,0,0,0,0,1,default-xgboost-default-feat
