,mean squared error,mean absolute error,r2 score,max error,mean absolute percentage error,top 5 in top 5,top 10 in top 10,top 50 in top 50,top 100 in top 100,top 500 in top 500,name
0,0.9952435739994316,0.866881854130951,-0.7767856289567565,2.873903488056204,0.24662392697189178,0,0,0,0,1,dummy-mean-model
1,1.9250021331677167,1.1126055834834723,-0.07950100763695045,3.482400845911003,0.8797816175707025,0,0,0,0,1,dummy-mean-model
2,1.30287265316649,0.8727639234570999,-0.02722790742971326,3.264902258890274,0.49513078952133344,0,0,0,0,1,dummy-mean-model
3,0.8933287338207194,0.7050288242145224,-0.021940992113651303,3.5259455486606686,0.5394483236390433,0,0,0,0,1,dummy-mean-model
4,0.5855721469672488,0.620859919222878,-0.0027422825547340768,2.801273592577569,0.2108972558084283,0,0,0,0,1,dummy-mean-model
0,0.7472505648463394,0.6706152123230132,-0.3340493719676634,3.4433106259662107,0.2033455872739927,0,0,0,0,1,default-xgboost-default-feat
1,1.6320725298458076,1.0325942143067193,0.08476779835774018,3.5844907997304567,0.7177052090594654,0,0,0,0,1,default-xgboost-default-feat
2,0.96067774443234,0.76020004885554,0.24256988069468288,3.615556055745459,0.3928485398826905,0,0,0,1,1,default-xgboost-default-feat
3,0.7469827736297895,0.6632530227239687,0.14547435017551558,4.3417945215146,0.5328237313442726,0,0,0,0,1,default-xgboost-default-feat
4,0.6795293161496317,0.6409564578741062,-0.1636359090297541,2.911911803454834,0.21222050506993503,0,0,0,0,1,default-xgboost-default-feat
0,0.9952435739994316,0.8668818541309512,-0.7767856289567565,2.873903488056204,0.24662392697189178,0,0,0,0,1,dummy-median-model
1,1.9250021331677167,1.1126055834834723,-0.07950100763695045,3.482400845911003,0.8797816175707025,0,0,0,0,1,dummy-median-model
2,1.30287265316649,0.8727639234570999,-0.02722790742971304,3.2649022588902734,0.49513078952133344,0,0,0,0,1,dummy-median-model
3,0.8933287338207194,0.7050288242145221,-0.021940992113651303,3.5259455486606686,0.5394483236390433,0,0,0,0,1,dummy-median-model
4,0.5855721469672488,0.6208599192228781,-0.0027422825547340768,2.8012735925775685,0.21089725580842827,0,0,0,0,1,dummy-median-model
