,mean squared error,mean absolute error,r2 score,max error,mean absolute percentage error,top 5 in top 5,top 10 in top 10,top 50 in top 50,top 100 in top 100,top 500 in top 500,name
0,1.463835210245257,0.9988306871720789,-0.011570483562044265,4.084020788801572,1.1836000910522393,0,0,0,0,1,dummy-mean-model
1,1.3617832191369825,0.9848846527222659,-0.00010537599036664069,2.9341213492682923,1.6692230098310323,0,0,0,0,1,dummy-mean-model
2,1.3366259802853995,0.9581396848133636,-5.201767038665039e-06,3.200378778648384,3.0470180603170873,0,0,0,0,1,dummy-mean-model
3,1.3173174913592873,0.9660089740422658,-0.005843548678359678,2.5996839767441853,3.833400320678362,0,0,0,0,1,dummy-mean-model
4,1.5259938819687529,1.0239334643121223,-0.001738715431929716,3.4630411285140563,1.8358322983976971,0,0,0,0,1,dummy-mean-model
0,1.401658257639614,0.9847558037893865,0.0387374210103294,3.3320919080276488,2.307674733669652,0,0,0,0,1,default-xgboost-default-feat
1,1.181350071894144,0.8861246848872171,0.14893172833101376,3.326937174636841,1.0026726124686085,0,0,0,1,1,default-xgboost-default-feat
2,1.2820629963715076,0.9397833729117725,0.15154555916054846,3.2691931768341065,2.4307477847167975,0,0,0,1,1,default-xgboost-default-feat
3,1.0969554760108104,0.8533882200358596,0.12379889741113015,3.4599825510253908,2.823921373044238,0,0,0,0,1,default-xgboost-default-feat
4,1.2343250563800776,0.914023687354339,0.08362026304177461,3.246088669189453,1.1595107367331028,0,0,1,1,1,default-xgboost-default-feat
0,1.3352297743600965,0.9682004297520661,-0.009368765292883996,2.5273405615906883,3.42375532062304,0,0,0,0,1,dummy-median-model
1,1.253299765839594,0.9228196006682362,-0.0001148800299199948,2.9403593405725568,2.680850465106915,0,0,0,0,1,dummy-median-model
2,1.4529007260041322,0.9897246167938758,-0.004510060566395024,3.217460137351779,1.431225934387188,0,0,0,0,1,dummy-median-model
3,1.5155273631319746,1.0465838211462453,-0.0005894298620763294,3.5743454558823533,2.339490189968739,0,0,0,0,1,dummy-median-model
4,1.4623892617798349,1.0073852595284782,-0.001213585144805629,4.066600541338582,1.6469912937479787,0,0,0,0,1,dummy-median-model
