iter	RMSE
0	1.254468988
1	1.250106736
2	1.249789171
3	1.233726557
4	1.230277927
5	1.221758655
6	1.209422909
7	1.209406608
8	1.208768163
9	1.206060567
10	1.190933315
11	1.177312502
12	1.165471513
13	1.159444877
14	1.155931561
15	1.155751992
16	1.14817598
17	1.146382835
18	1.146359562
19	1.145847915
20	1.145831128
21	1.144507067
22	1.141869645
23	1.138367392
24	1.138354698
25	1.135483007
26	1.135172089
27	1.127699411
28	1.116712022
29	1.111097531
30	1.103260902
31	1.103253981
32	1.090653695
33	1.07965343
34	1.072951735
35	1.072949288
36	1.067387154
37	1.055588623
38	1.055359252
39	1.048561756
40	1.033606323
41	1.033436306
42	1.020752427
43	1.01045312
44	1.000526196
45	0.9950401219
46	0.9950366186
47	0.9945042414
48	0.9945017926
49	0.9944950139
50	0.9913760598
51	0.9911209772
52	0.978811608
53	0.9711642232
54	0.9711639411
55	0.9566492756
56	0.9460160331
57	0.9301579173
58	0.9231690161
59	0.9210930427
60	0.9176098982
61	0.913834073
62	0.913833904
63	0.9021168518
64	0.8967671373
65	0.8916672075
66	0.8837403606
67	0.8745163935
68	0.8674069344
69	0.8661224421
70	0.8552760662
71	0.8519761073
72	0.8436685439
73	0.8436461357
74	0.8380692124
75	0.8260114676
76	0.8139962456
77	0.8055263984
78	0.8055032385
79	0.7984874295
80	0.7879114817
81	0.7830678064
82	0.7830431799
83	0.7783089634
84	0.7782910855
85	0.7782758641
86	0.7705080686
87	0.7616537569
88	0.7518002262
89	0.7412880586
90	0.7329070067
91	0.7238349445
92	0.7115615891
93	0.7078566673
94	0.6996177999
95	0.6931866735
96	0.6931666833
97	0.6866870994
98	0.6866703078
99	0.6741789782
100	0.6720809939
101	0.668623491
102	0.6646923503
103	0.6646848784
104	0.6638002132
105	0.6637909576
106	0.6552464751
107	0.6431246353
108	0.6375607316
109	0.631856648
110	0.6262349874
111	0.6175134353
112	0.6070396437
113	0.604241126
114	0.5976006484
115	0.5929451086
116	0.5904170886
117	0.5833460116
118	0.5833457586
119	0.5822119202
120	0.5791124917
121	0.571168365
122	0.5666340452
123	0.5612118427
124	0.5612107194
125	0.5567549191
126	0.5567548434
127	0.5446100128
128	0.5438357298
129	0.5343862692
130	0.5343837604
131	0.5311997823
132	0.5245644332
133	0.5245581038
134	0.5245527149
135	0.518394376
136	0.5183903487
137	0.514280201
138	0.5142765399
139	0.5135589254
140	0.5135537768
141	0.5068302288
142	0.5060711678
143	0.5040968989
144	0.4973474642
145	0.4955207757
146	0.4927150207
147	0.48612957
148	0.486129567
149	0.4823483168
150	0.4823482763
151	0.4776381283
152	0.4759260317
153	0.4744579263
154	0.4708016652
155	0.4676430534
156	0.4676428538
157	0.4617748321
158	0.4586383612
159	0.4559217758
160	0.4501769385
161	0.4474094235
162	0.4424502036
163	0.4383517973
164	0.4328078902
165	0.4308573893
166	0.4251597547
167	0.4251476257
168	0.4251372989
169	0.4173357481
170	0.4147839253
171	0.4140402918
172	0.4127576833
173	0.4106272214
174	0.4094566421
175	0.4081175966
176	0.4081144523
177	0.4018885687
178	0.3994700032
179	0.3994660818
180	0.394271267
181	0.3937808955
182	0.3888975522
183	0.3888910313
184	0.3854488148
185	0.3854383685
186	0.380035733
187	0.3786080029
188	0.3741441887
189	0.3711581151
190	0.3711475749
191	0.3652345683
192	0.3614971344
193	0.3614887539
194	0.3582934061
195	0.3528384297
196	0.3511191921
197	0.3469731628
198	0.3417449637
199	0.3374733643
200	0.3361902354
201	0.3325793285
202	0.3325751171
203	0.3321677202
204	0.3279893671
205	0.3269106009
206	0.326902605
207	0.3248452292
208	0.3206209403
209	0.3169582053
210	0.3153054321
211	0.3125586782
212	0.3104373906
