iter	Passed	Remaining
0	0	4833
1	0	3469
2	1	3952
3	1	3384
4	1	3200
5	2	3465
6	2	3566
7	3	3672
8	3	3740
9	4	3877
10	4	3859
11	5	4549
12	6	4699
13	6	4682
14	7	4511
15	7	4326
16	7	4179
17	7	4116
18	8	4328
19	8	4211
20	9	4215
21	9	4250
22	10	4235
23	11	4447
24	11	4433
25	12	4438
26	12	4327
27	12	4294
28	13	4312
29	18	6009
30	19	5970
31	19	5857
32	20	5816
33	20	5761
34	21	5728
35	21	5714
36	22	5678
37	22	5603
38	22	5617
39	23	5600
40	23	5564
41	24	5508
42	24	5455
43	25	5450
44	25	5428
45	26	5420
46	26	5360
47	26	5314
48	27	5267
49	27	5296
50	28	5241
51	28	5177
52	28	5127
53	29	5186
54	30	5198
55	31	5272
56	31	5282
57	34	5656
58	35	5673
59	35	5644
60	36	5617
61	36	5589
62	36	5527
63	36	5490
64	37	5461
65	37	5465
66	38	5474
67	39	5488
68	39	5491
69	40	5464
70	40	5430
71	40	5371
72	41	5399
73	42	5406
74	43	5557
75	44	5510
76	45	5615
77	45	5589
78	46	5553
79	47	5585
80	48	5625
81	48	5574
82	48	5546
83	48	5516
84	49	5478
85	49	5483
86	50	5484
87	50	5445
88	50	5419
89	51	5421
90	52	5416
91	52	5381
92	52	5355
93	52	5324
94	53	5318
95	53	5304
96	54	5289
97	54	5266
98	54	5254
99	55	5243
100	55	5219
101	56	5201
102	56	5220
103	57	5210
104	57	5199
105	57	5174
106	58	5143
107	58	5132
108	59	5121
109	59	5097
110	59	5076
111	59	5061
112	60	5049
113	60	5031
114	60	5004
115	61	5028
116	61	5001
117	62	4992
118	63	5008
119	63	4985
120	63	4959
121	65	5092
122	65	5065
123	66	5058
124	66	5040
125	67	5034
126	67	5040
127	68	5021
128	68	4995
129	68	4968
130	68	4941
131	68	4922
132	69	4908
133	69	4915
134	70	4898
135	70	4881
136	70	4859
137	70	4837
138	71	4830
139	71	4815
140	71	4802
141	72	4798
142	72	4791
143	73	4779
144	73	4760
145	73	4757
146	74	4763
147	74	4753
148	75	4750
149	75	4730
150	75	4729
151	76	4720
152	76	4717
153	77	4710
154	77	4692
155	77	4691
156	78	4686
157	78	4689
158	79	4700
159	79	4697
160	80	4678
161	80	4678
162	80	4660
163	81	4652
164	81	4645
165	81	4627
166	82	4628
167	82	4619
168	83	4615
169	83	4597
170	83	4589
171	83	4587
172	84	4584
173	84	4578
174	85	4571
175	85	4585
176	86	4592
177	87	4595
178	87	4592
179	87	4588
180	88	4588
181	88	4581
182	89	4576
183	89	4568
184	90	4566
185	90	4550
186	90	4546
187	90	4530
188	91	4520
189	91	4512
190	91	4497
191	91	4491
192	92	4480
193	92	4477
194	93	4484
195	94	4518
196	94	4517
197	95	4515
198	95	4505
199	96	4498
200	96	4513
201	97	4504
202	97	4516
203	98	4524
204	99	4528
205	99	4526
206	99	4516
207	100	4506
208	100	4513
209	101	4522
210	102	4524
211	102	4524
212	102	4521
213	103	4513
214	103	4509
215	104	4505
216	104	4496
217	104	4495
218	105	4490
219	105	4483
220	106	4497
221	106	4500
222	107	4513
223	107	4503
224	109	4546
225	109	4542
226	110	4539
227	110	4542
228	111	4548
229	111	4541
230	112	4546
231	112	4535
232	113	4528
233	113	4527
234	113	4523
235	114	4533
236	115	4533
237	115	4522
238	115	4526
239	116	4524
240	116	4517
241	117	4515
242	117	4502
243	117	4498
244	117	4486
245	118	4478
246	118	4475
247	119	4472
248	119	4471
249	119	4469
250	120	4458
251	120	4454
252	120	4445
253	120	4434
254	121	4423
255	121	4417
256	121	4407
257	122	4403
258	122	4401
259	122	4397
260	123	4391
261	123	4380
262	123	4377
263	124	4383
264	124	4383
265	125	4378
266	125	4369
267	125	4365
268	126	4366
269	126	4360
270	126	4349
271	127	4349
272	127	4342
273	128	4346
274	128	4335
275	128	4325
276	128	4325
277	129	4323
278	129	4319
279	130	4324
280	130	4323
281	131	4319
282	131	4317
283	132	4318
284	132	4317
285	133	4316
286	133	4316
287	133	4314
288	134	4312
289	134	4310
290	135	4306
